%-----------------------------------------------------------------------
% vega_spec function                                          AstroSpec
% Description: Get Vega spectrum from Kurucz (1993) models.
%              Teff = 9550,  log g = 3.95, log z = -0.5e0.
%              V-band magnityde = +0.034 mag (measured from spectrum,
%              assuming 3670 Jy for V=0).
%              Multiplied by 1.006 so that the normalization coincides
%              with Fukugita.
% Output : - Vega spectrum [Wavelength(A), Flux(erg/cm^2/s)]
% Tested : Matlab 7.0
%     By : Eran O. Ofek                   March 2005
%    URL : http://wise-obs.tau.ac.il/~eran/matlab.html
% Example: Spec=vega_spec;
%-----------------------------------------------------------------------


24250. 2.68335e-11
24350. 2.64078e-11
24450. 2.59332e-11
24550. 2.56205e-11
24650. 2.5114e-11
24750. 2.47651e-11
24850. 2.45734e-11
24950. 2.3719e-11
25050. 2.42232e-11
25150. 2.36179e-11
25250. 2.24983e-11
25350. 2.27759e-11
25450. 2.26818e-11
25550. 2.2079e-11
25650. 2.09738e-11
25750. 2.15284e-11
25850. 2.14247e-11
25950. 2.10714e-11
26050. 2.03026e-11
26150. 1.92441e-11
26250. 1.8311e-11
26350. 1.94969e-11
26450. 1.96116e-11
26550. 1.93496e-11
26650. 1.88095e-11
26750. 1.75237e-11
26850. 1.82845e-11
26950. 1.83141e-11
27050. 1.81171e-11
27150. 1.78923e-11
27250. 1.76293e-11
27350. 1.73356e-11
27450. 1.69452e-11
27550. 1.5716e-11
27650. 1.60424e-11
27750. 1.63423e-11
27850. 1.62057e-11
27950. 1.60135e-11
28050. 1.5796e-11
28150. 1.55824e-11
28250. 1.53718e-11
28350. 1.5166e-11
28450. 1.49348e-11
28550. 1.46694e-11
28650. 1.41128e-11
28750. 1.32096e-11
28850. 1.39728e-11
28950. 1.3941e-11
29050. 1.38113e-11
29150. 1.36264e-11
29250. 1.34551e-11
29350. 1.32808e-11
29450. 1.31089e-11
29550. 1.29397e-11
29650. 1.27731e-11
29750. 1.26093e-11
29850. 1.24481e-11
29950. 1.22888e-11
30050. 1.21309e-11
30150. 1.1941e-11
30250. 1.16991e-11
30350. 1.08899e-11
30450. 1.09801e-11
30550. 1.12937e-11
30650. 1.12224e-11
30750. 1.11064e-11
30850. 1.09658e-11
30950. 1.08337e-11
31050. 1.07001e-11
31150. 1.05678e-11
31250. 1.04379e-11
31350. 1.03126e-11
31450. 1.01853e-11
31550. 1.00644e-11
31650. 9.94321e-12
31750. 9.82214e-12
31850. 9.70542e-12
31950. 9.58904e-12
32100. 9.41786e-12
32300. 9.19595e-12
32500. 8.98011e-12
32700. 8.74258e-12
32900. 8.1061e-12
33100. 8.20231e-12
33300. 8.14686e-12
33500. 7.97185e-12
33700. 7.79169e-12
33900. 7.6189e-12
34100. 7.45043e-12
34300. 7.28576e-12
34500. 7.12519e-12
34700. 6.96802e-12
34900. 6.81437e-12
35100. 6.66394e-12
35300. 6.51875e-12
35500. 6.37641e-12
35700. 6.23442e-12
35900. 6.10746e-12
36100. 5.96464e-12
36300. 5.8536e-12
36500. 5.70672e-12
36700. 5.62156e-12
36900. 5.45124e-12
37100. 5.37908e-12
37300. 5.14003e-12
37500. 4.95243e-12
37700. 5.06309e-12
37900. 4.9794e-12
38100. 4.81215e-12
38300. 4.72566e-12
38500. 4.69309e-12
38700. 4.60216e-12
38900. 4.4804e-12
39100. 4.30254e-12
39300. 4.32411e-12
39500. 4.26167e-12
39700. 4.18036e-12
39900. 4.09852e-12
40100. 3.93445e-12
40300. 3.8349e-12
40500. 3.68056e-12
40700. 3.76787e-12
40900. 3.72166e-12
41100. 3.65451e-12
41300. 3.58322e-12
41500. 3.49327e-12
41700. 3.31162e-12
41900. 3.36209e-12
42100. 3.32636e-12
42300. 3.2682e-12
42500. 3.2089e-12
42700. 3.15095e-12
42900. 3.0942e-12
43100. 3.03886e-12
43300. 2.98442e-12
43500. 2.91863e-12
43700. 2.76517e-12
43900. 2.77934e-12
44100. 2.7747e-12
44300. 2.73118e-12
44500. 2.68368e-12
44700. 2.6485e-12
44900. 2.60272e-12
45100. 2.55822e-12
45300. 2.5144e-12
45500. 2.47171e-12
45700. 2.42967e-12
45900. 2.3886e-12
46100. 2.34527e-12
46300. 2.29202e-12
46500. 2.14715e-12
46700. 2.11234e-12
46900. 2.16636e-12
47100. 2.15503e-12
47300. 2.12482e-12
47500. 2.09001e-12
47700. 2.05614e-12
47900. 2.02295e-12
48100. 1.99035e-12
48300. 1.95843e-12
48500. 1.92706e-12
48700. 1.89643e-12
48900. 1.86634e-12
49100. 1.83678e-12
49300. 1.80792e-12
49500. 1.77957e-12
49700. 1.7518e-12
49900. 1.72452e-12
50100. 1.6978e-12
50300. 1.67164e-12
50500. 1.64593e-12
50700. 1.62067e-12
50900. 1.59338e-12
51100. 1.55364e-12
51300. 1.46774e-12
51500. 1.51162e-12
51700. 1.5003e-12
51900. 1.47921e-12
52100. 1.45709e-12
52300. 1.43545e-12
52500. 1.41425e-12
52700. 1.39334e-12
52900. 1.37287e-12
53100. 1.35284e-12
53300. 1.33307e-12
53500. 1.31372e-12
53700. 1.29463e-12
53900. 1.27602e-12
54100. 1.25765e-12
54300. 1.2396e-12
54500. 1.22193e-12
54700. 1.2045e-12
54900. 1.18744e-12
55100. 1.17067e-12
55300. 1.15419e-12
55500. 1.13799e-12
55700. 1.12208e-12
55900. 1.10643e-12
56100. 1.09113e-12
56300. 1.07602e-12
56500. 1.06117e-12
56700. 1.04665e-12
56900. 1.03231e-12
57100. 1.01821e-12
57300. 1.00436e-12
57500. 9.90749e-13
57700. 9.7737e-13
57900. 9.64223e-13
58100. 9.51304e-13
58300. 9.38539e-13
58500. 9.28063e-13
58700. 9.13599e-13
58900. 8.91894e-13
59100. 8.45054e-13
59300. 8.72049e-13
59500. 8.6713e-13
59700. 8.57092e-13
59900. 8.45918e-13
60100. 8.34939e-13
60300. 8.24152e-13
60500. 8.13489e-13
60700. 8.03013e-13
60900. 7.9272e-13
61100. 7.82608e-13
61300. 7.7261e-13
61500. 7.62789e-13
61700. 7.5314e-13
61900. 7.43661e-13
62100. 7.34288e-13
62300. 7.25082e-13
62500. 7.16038e-13
62700. 7.07094e-13
62900. 6.9831e-13
63100. 6.89682e-13
63300. 6.81148e-13
63500. 6.72767e-13
63700. 6.64536e-13
63900. 6.56394e-13
64200. 6.44433e-13
64600. 6.28899e-13
65000. 6.13809e-13
